parking_id,name,address,latitude,longitude,parking_type,price_per_hour,time_limit,open_hours,occupancy_state,ticket_risk,rating,source,straight_distance_miles,walking_minutes,walking_meters,route_status,parking_score,parking_summary
CB1470,LADOT Meter CB1470,1201 HOPE ST,34.040114,-118.265173,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.2336504580624505,7.6,538,ok,4.485,LADOT Meter CB1470 is a street_meter at 1201 HOPE ST. Occupancy status is unknown. Ticket risk is low. Walking time is 7.6 minutes. Source is LADOT Live + Inventory.
CB48,LADOT Meter CB48,1300 FIGUEROA ST,34.039321,-118.26875,street_meter,,4HR,unknown,unknown,medium,,LADOT Live + Inventory,0.2674101718314489,7.2,480,ok,4.545,LADOT Meter CB48 is a street_meter at 1300 FIGUEROA ST. Occupancy status is unknown. Ticket risk is medium. Walking time is 7.2 minutes. Source is LADOT Live + Inventory.
CB4411,LADOT Meter CB4411,500 11TH ST,34.042338,-118.263309,street_meter,,2HR,unknown,unknown,low,,LADOT Live + Inventory,0.2330291436852659,8.1,581,ok,4.659999999999999,LADOT Meter CB4411 is a street_meter at 500 11TH ST. Occupancy status is unknown. Ticket risk is low. Walking time is 8.1 minutes. Source is LADOT Live + Inventory.
CB931,LADOT Meter CB931,1000 FLOWER ST,34.04365,-118.263318,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.232360506171818,8.1,584,ok,4.659999999999999,LADOT Meter CB931 is a street_meter at 1000 FLOWER ST. Occupancy status is unknown. Ticket risk is low. Walking time is 8.1 minutes. Source is LADOT Live + Inventory.
CB1608,LADOT Meter CB1608,801 OLYMPIC BLVD,34.045393,-118.265278,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.2018393606576221,8.6,634,ok,4.835,LADOT Meter CB1608 is a street_meter at 801 OLYMPIC BLVD. Occupancy status is unknown. Ticket risk is low. Walking time is 8.6 minutes. Source is LADOT Live + Inventory.
CB927,LADOT Meter CB927,1000 FLOWER ST,34.044145,-118.262857,street_meter,,4HR,unknown,available,low,,LADOT Live + Inventory,0.2663901276944796,9.1,654,ok,4.86,LADOT Meter CB927 is a street_meter at 1000 FLOWER ST. Occupancy status is available. Ticket risk is low. Walking time is 9.1 minutes. Source is LADOT Live + Inventory.
CB1345,LADOT Meter CB1345,1200 HOPE ST,34.040073,-118.264961,street_meter,,4HR,unknown,occupied,low,,LADOT Live + Inventory,0.2425570068685767,7.4,531,ok,4.865,LADOT Meter CB1345 is a street_meter at 1200 HOPE ST. Occupancy status is occupied. Ticket risk is low. Walking time is 7.4 minutes. Source is LADOT Live + Inventory.
CB1450,LADOT Meter CB1450,1001 HOPE ST,34.042619,-118.262833,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.2570991585049008,8.9,650,ok,4.94,LADOT Meter CB1450 is a street_meter at 1001 HOPE ST. Occupancy status is unknown. Ticket risk is low. Walking time is 8.9 minutes. Source is LADOT Live + Inventory.
CB1449,LADOT Meter CB1449,1001 HOPE ST,34.042674,-118.262784,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.2595324814805348,9.0,656,ok,4.9750000000000005,LADOT Meter CB1449 is a street_meter at 1001 HOPE ST. Occupancy status is unknown. Ticket risk is low. Walking time is 9.0 minutes. Source is LADOT Live + Inventory.
CB116,LADOT Meter CB116,1301 HOPE ST,34.039238,-118.265937,street_meter,,4HR,unknown,occupied,medium,,LADOT Live + Inventory,0.2713934605864178,8.5,596,ok,5.45,LADOT Meter CB116 is a street_meter at 1301 HOPE ST. Occupancy status is occupied. Ticket risk is medium. Walking time is 8.5 minutes. Source is LADOT Live + Inventory.
